SEQ_NAME	START	END	STRAND
chrXI	317107	317483	-
chrXI	322311	322807	+
chrXI	341131	342115	-
chrXI	355115	356139	-
chrXI	360108	360828	-
chrXI	361876	362380	-
chrXI	364285	365261	-
chrXI	446809	447705	+
chrXI	455217	457121	+
chrXI	461609	462793	+
chrXI	466417	469145	+
chrXI	513966	514462	-
chrXI	514138	514706	+
chrXI	519406	519838	-
chrXI	521878	523358	-
chrXI	527262	527646	-
chrXI	533550	533838	-
chrXI	533938	535538	+
chrXI	605595	608371	+
chrXI	618868	619508	+
chrXI	630542	631016	+
chrXI	649892	650348	-
chrXII	22937	23481	+
chrXII	26193	27289	+
chrXII	36350	37142	-
chrXII	112126	114310	-
chrXII	151122	153642	+
chrXII	158074	159786	+
chrXII	201592	201888	+
chrXII	203084	204724	-
chrXII	222320	222616	+
chrXII	223196	224596	-
chrXII	224152	224696	+
chrXII	230808	231624	+
chrXII	234552	235904	+
chrXII	245576	246272	+
chrXII	248008	248656	+
chrXII	259760	260944	+
chrXII	274032	275352	+
chrXII	281168	282192	+
chrXII	282536	282880	+
chrXII	287764	288884	-
chrXII	289132	289612	-
chrXII	289716	289916	-
chrXII	289744	289920	+
chrXII	290060	291692	-
chrXII	322084	323468	-
chrXII	323484	326260	-
chrXII	329696	331432	+
chrXII	339408	341224	+
chrXII	346168	346552	+
chrXII	370188	370964	-
chrXII	395800	396416	+
chrXII	449004	449612	-
chrXII	449688	450728	+
chrXII	490896	491791	+
chrXII	491823	492639	+
chrXII	498155	498683	-
chrXII	498223	498863	+
chrXII	501263	502343	+
chrXII	509735	510007	+
chrXII	540751	541791	+
chrXII	553911	554431	+
chrXII	566583	568423	+
chrXII	591343	591727	+
chrXII	603427	603859	-
chrXII	603431	603887	+
chrXII	603887	604199	+
chrXII	607271	609231	+
chrXII	614227	614579	-
chrXII	626399	627095	+
chrXII	636051	636371	-
chrXII	641355	642379	-
chrXII	658231	658615	+
chrXII	659835	661451	-
chrXII	669159	669423	+
chrXII	678147	679947	-
chrXII	699847	701295	+
chrXII	781419	781995	-
chrXII	783483	783843	-
chrXII	789699	789875	-
chrXII	806843	808851	-
chrXII	827916	828276	-
chrXII	873712	874992	+
chrXII	910215	911327	+
chrXII	921643	922387	-
chrXII	928245	928573	-
chrXII	954387	954571	+
chrXII	1025383	1026711	-
chrXII	1029912	1030624	-
chrXII	1030084	1030604	+
chrXII	1033423	1035759	-
chrXIII	9269	9844	-
chrXIII	13520	14064	+
chrXIII	29877	30309	-
chrXIII	30161	30585	+
chrXIII	46021	46509	-
chrXIII	97681	97945	+
chrXIII	119457	120081	+
chrXIII	121365	122981	-
chrXIII	121601	122969	+
chrXIII	131969	133033	+
chrXIII	133193	133417	+
chrXIII	140433	141537	+
chrXIII	146269	146301	-
chrXIII	148777	149025	+
chrXIII	164617	164745	+
chrXIII	165529	168705	+
chrXIII	169853	171445	-
chrXIII	219221	219853	-
chrXIII	253249	253657	+
chrXIII	258725	258965	-
chrXIII	259477	260077	-
chrXIII	262701	262837	-
chrXIII	265541	267477	-
chrXIII	271701	271917	-
chrXIII	282781	283750	-
chrXIII	288110	289766	-
chrXIII	289914	290674	+
chrXIII	297122	297194	+
chrXIII	311478	312046	-
chrXIII	343666	344282	+
chrXIII	347186	348170	+
chrXIII	371210	371994	+
chrXIII	430018	430978	+
chrXIII	432138	433042	+
chrXIII	433342	434190	-
chrXIII	465026	465282	+
chrXIII	465254	465670	-
chrXIII	480874	481210	+
chrXIII	489558	489846	-
chrXIII	510578	511266	+
chrXIII	511802	512194	+
chrXIII	522178	522778	+
chrXIII	536062	537086	-
chrXIII	556666	557466	+
chrXIII	570586	571242	+
chrXIII	610426	610898	+
chrXIII	616046	616326	-
chrXIII	618894	619462	-
chrXIII	653362	653730	+
chrXIII	654566	654782	-
chrXIII	687790	688854	-
chrXIII	731438	732110	-
chrXIII	731450	731554	+
chrXIII	763354	763986	+
chrXIII	772750	773598	-
chrXIII	774090	774722	+
chrXIII	775938	776658	+
chrXIII	777666	777938	+
chrXIII	779434	779666	+
chrXIII	784514	785042	+
chrXIII	854542	855006	-
chrXIII	872994	873194	+
chrXIII	898030	898302	-
chrXIII	910923	912419	+
chrXIII	912459	914795	+
chrXIV	41854	41902	-
chrXIV	65758	66246	-
chrXIV	110847	112903	-
chrXIV	169082	169818	+
chrXIV	200226	200410	+
chrXIV	201694	201982	-
chrXIV	204918	206742	-
chrXIV	250782	251742	-
chrXIV	270274	270746	+
chrXIV	272026	274066	+
chrXIV	318633	319369	+
chrXIV	335173	337741	-
chrXIV	335305	336497	+
chrXIV	355777	356385	+
chrXIV	372473	374265	+
chrXIV	416601	416793	+
chrXIV	426921	427569	+
chrXIV	440777	441273	+
chrXIV	444769	446841	+
chrXIV	466117	466637	-
chrXIV	529847	531455	-
chrXIV	542119	543135	-
chrXIV	587267	588251	+
chrXIV	595402	596858	+
chrXIV	604471	605247	-
chrXIV	609999	611103	-
chrXIV	629258	629514	+
chrXIV	632810	633850	+
chrXIV	635430	636862	-
chrXIV	652478	653206	-
chrXIV	705326	705942	-
chrXIV	724499	725971	+
chrXIV	727835	728059	+
chrXIV	728483	730171	+
chrXIV	731315	733156	+
chrXIV	735848	736160	-
chrXIV	740432	742216	-
chrXIV	742316	742572	+
chrXIV	743828	746372	+
chrXIV	759988	760420	+
chrXIV	763088	764024	-
chrXIV	764324	764740	+
chrXIV	764728	766608	-
chrXIV	766608	769384	-
chrXV	5589	6893	-
chrXV	6957	7933	-
chrXV	8666	9066	+
chrXV	15690	16402	+
chrXV	21866	22234	+
chrXV	31666	33258	+
chrXV	33610	34402	+
chrXV	34574	35638	-
chrXV	35898	38666	+
chrXV	38746	39170	+
chrXV	39078	40222	-
chrXV	40322	40570	+
chrXV	40966	43295	-
chrXV	73534	73910	-
chrXV	96658	97058	+
chrXV	101062	101262	-
chrXV	219231	220543	-
chrXV	225683	226587	+
chrXV	241595	242515	+
chrXV	303417	304593	+
chrXV	326149	326453	-
chrXV	335881	337185	+
chrXV	337465	338401	+
chrXV	348698	349018	+
chrXV	348990	349750	-
chrXV	355206	355822	-
chrXV	356158	357222	-
chrXV	368638	369446	-
chrXV	371118	371350	-
chrXV	371710	372414	-
chrXV	385114	386370	+
chrXV	400126	401414	-
chrXV	408138	408218	+
chrXV	416185	416505	+
chrXV	418209	418577	+
chrXV	422401	424728	+
chrXV	444096	444536	+
chrXV	447260	448364	-
chrXV	494373	494661	-
chrXV	507041	507945	+
chrXV	521669	522629	-
chrXV	536893	537213	-
chrXV	550293	550613	-
chrXV	550497	551049	+
chrXV	570969	571785	+
chrXV	579005	579949	-
chrXV	617249	617393	+
chrXV	618849	619649	+
chrXV	639545	640705	+
chrXV	667865	670345	+
chrXV	672609	673185	+
chrXV	681049	681321	+
chrXV	689189	689429	-
chrXV	690093	690357	-
chrXV	690821	692205	-
chrXV	701833	703401	+
chrXV	721741	722629	-
chrXV	723037	723157	-
chrXV	802401	802617	+
chrXV	804238	804822	-
chrXV	817056	818136	-
chrXV	832104	832296	-
chrXV	836520	837240	-
chrXV	849048	849656	-
chrXV	881289	882441	-
chrXV	889853	891677	+
chrXV	891689	892602	-
chrXV	892029	892678	+
chrXV	898598	898966	+
chrXV	907774	908270	+
chrXV	936734	938350	+
chrXV	958342	958830	+
chrXV	968070	968478	+
chrXV	969159	970034	-
chrXV	978174	979998	+
chrXV	980954	981474	-
chrXV	982522	984802	-
chrXV	988954	989434	-
chrXV	989038	989694	+
chrXV	991746	992746	-
chrXV	1003958	1004470	+
chrXV	1026633	1028033	-
chrXV	1057513	1058465	-
chrXV	1061113	1064393	-
chrXVI	23909	24701	-
chrXVI	40165	40877	-
chrXVI	43289	43969	+
chrXVI	46861	47197	-
chrXVI	52977	53465	+
chrXVI	71105	71985	+
chrXVI	75249	75561	+
chrXVI	79569	80657	+
chrXVI	80745	81825	+
chrXVI	95441	96409	+
chrXVI	108949	109101	-
chrXVI	114365	116373	-
chrXVI	125477	125813	-
chrXVI	132414	132734	-
chrXVI	145534	146662	-
chrXVI	164990	165542	-
chrXVI	195682	195978	+
chrXVI	243154	244226	+
chrXVI	286626	287010	+
chrXVI	289410	289698	+
chrXVI	296938	297458	+
chrXVI	319098	319242	+
chrXVI	345090	345994	+
chrXVI	347673	348290	-
chrXVI	352606	352830	+
chrXVI	360354	360602	-
chrXVI	363886	364350	+
chrXVI	368790	369622	+
chrXVI	379182	381006	+
chrXVI	404246	404422	+
chrXVI	431378	431634	-
chrXVI	443114	444274	-
chrXVI	451230	451702	+
chrXVI	453414	454070	+
chrXVI	455802	456594	-
chrXVI	459218	459842	-
chrXVI	462374	462446	+
chrXVI	463982	464174	+
chrXVI	482010	483033	-
chrXVI	491949	492693	+
chrXVI	499433	500209	-
chrXVI	511845	512269	+
chrXVI	522506	522730	-
chrXVI	524994	525506	-
chrXVI	544038	544326	+
chrXVI	556362	557474	-
chrXVI	565574	565814	+
chrXVI	583022	584246	+
chrXVI	585754	586594	-
chrXVI	586470	588910	+
chrXVI	587762	588170	-
chrXVI	588434	589970	-
chrXVI	588998	589830	+
chrXVI	590470	590934	+
chrXVI	607550	608542	+
chrXVI	614578	615282	-
chrXVI	619770	619986	-
chrXVI	620174	621270	+
chrXVI	627338	629082	-
chrXVI	643546	644978	-
chrXVI	645418	645682	-
chrXVI	647114	647610	-
chrXVI	678378	678690	-
chrXVI	681210	681962	-
chrXVI	708517	709037	+
chrXVI	769745	770689	-
chrXVI	777522	778193	-
chrXVI	781971	785379	-
chrXVI	786971	787675	-
chrXVI	789451	789611	-
chrXVI	790043	790763	-
chrXVI	797795	799043	-
chrXVI	812791	813087	+
chrXVI	813231	813727	+
chrXVI	825059	825467	-
chrXVI	828543	829655	+
chrXVI	828667	829619	-
chrXVI	860687	861151	+
chrXVI	863443	864227	-
chrXVI	877683	877971	-
chrXVI	885651	886139	-
chrXVI	888087	888231	+
chrXVI	924175	927663	+
chrXVI	927663	928463	+
chrXVI	928711	931119	+
chrXVI	930211	931235	-
chrXVI	935955	937267	-
chrXVI	937287	937959	+
