SEQ_NAME	START	END	STRAND	NAME
chrII	101886	105299	+	YBL063W
chrII	105308	105688	+	YBL062W
chrII	105248	107515	-	YBL061C
chrII	107914	110033	+	YBL060W
chrII	109965	110571	-	YBL059C-A
chrII	110594	111244	+	YBL059W
chrII	111409	112834	+	YBL058W
chrII	112728	113447	-	YBL057C
chrII	113716	115564	+	YBL056W
chrII	115479	116815	-	YBL055C
chrII	117474	119311	+	YBL054W
chrII	119335	119709	+	YBL053W
chrII	119306	122102	-	YBL052C
chrII	122306	124822	-	YBL051C
chrII	125042	126186	+	YBL050W
chrII	126767	127503	+	YBL049W
chrII	127299	127610	+	YBL048W
chrII	127754	132201	-	YBL047C
chrII	132424	133927	+	YBL046W
chrII	133961	135702	-	YBL045C
chrII	135998	136366	+	YBL044W
chrII	136555	137625	+	YBL043W
chrII	138290	140316	-	YBL042C
chrII	141212	142018	+	YBL041W
chrII	142045	142911	-	YBL040C
chrII	143188	143707	+	YBL039W-B
chrII	143805	145782	-	YBL039C
chrII	144948	145031	-	YBL039C-A
chrII	146124	146943	+	YBL038W
chrII	147111	150395	+	YBL037W
chrII	150301	151233	-	YBL036C
chrII	151447	153691	-	YBL035C
chrII	153848	158389	-	YBL034C
chrII	158589	159721	-	YBL033C
chrII	160092	161509	+	YBL032W
chrII	161669	162874	+	YBL031W
chrII	162741	164118	-	YBL030C
chrII	164360	164841	-	YBL029C-A
chrII	166134	167264	+	YBL029W
chrII	167429	167885	-	YBL028C
chrII	168392	169460	+	YBL027W
chrII	170578	171164	+	YBL026W
chrII	171433	172384	+	YBL025W
chrII	172511	174713	+	YBL024W
chrII	174732	177579	-	YBL023C
chrII	177798	181402	-	YBL022C
chrII	181490	182118	-	YBL021C
chrII	182319	184205	+	YBL020W
chrII	184301	186027	+	YBL019W
chrII	185941	186515	-	YBL018C
chrII	186844	191583	-	YBL017C
chrII	192451	193512	+	YBL016W
chrII	194045	195984	+	YBL015W
chrII	198923	201777	-	YBL014C
chrII	202056	203261	+	YBL013W
chrII	203406	203807	-	YBL012C
chrII	203437	206022	+	YBL011W
chrII	205899	206947	-	YBL010C
chrII	207160	209350	+	YBL009W
chrII	209409	209648	+	YBL008W-A
chrII	209598	212256	+	YBL008W
chrII	212568	216418	-	YBL007C
chrII	216405	217137	-	YBL006C
chrII	216711	216860	+	YBL006W-A
chrII	217408	220685	+	YBL005W
chrII	221330	222652	+	YBL005W-A
chrII	221330	226598	+	YBL005W-B
chrII	227636	235117	+	YBL004W
chrII	235221	235819	-	YBL003C
chrII	236469	237079	+	YBL002W
chrII	237078	237478	-	YBL001C
chrII	238872	241339	-	YBR001C
chrII	241589	242593	-	YBR002C
chrII	242780	244357	+	YBR003W
chrII	244273	245683	-	YBR004C
chrII	245883	246698	+	YBR005W
chrII	246884	248649	+	YBR006W
chrII	248665	251106	-	YBR007C
chrII	252403	254427	-	YBR008C
chrII	255205	255723	-	YBR009C
chrII	256303	256904	+	YBR010W
chrII	257000	258006	-	YBR011C
chrII	258940	259555	-	YBR012C
chrII	259869	261191	+	YBR012W-A
chrII	259869	265140	+	YBR012W-B
chrII	265492	265881	-	YBR013C
chrII	266614	267354	-	YBR014C
chrII	267568	269631	-	YBR015C
chrII	270217	270840	+	YBR016W
chrII	270845	273765	-	YBR017C
chrII	274290	275547	-	YBR018C
chrII	276143	278377	-	YBR019C
chrII	278963	280763	+	YBR020W
chrII	281307	283471	+	YBR021W
chrII	283676	284433	+	YBR022W
chrII	284274	288059	-	YBR023C
chrII	289332	290352	+	YBR024W
chrII	290470	291896	-	YBR025C
chrII	292761	294022	-	YBR026C
chrII	294024	294356	-	YBR027C
chrII	294249	296058	-	YBR028C
chrII	296238	297832	-	YBR029C
chrII	298235	300006	+	YBR030W
chrII	300150	301342	+	YBR031W
chrII	301518	301961	+	YBR032W
chrII	301820	304786	+	YBR033W
chrII	304740	305999	-	YBR034C
chrII	306170	306985	-	YBR035C
chrII	307185	307345	-	snR161
chrII	307556	308847	+	TLC1
chrII	308887	310361	-	YBR036C
chrII	310495	311493	-	YBR037C
chrII	311861	314975	+	YBR038W
chrII	315488	316688	+	YBR039W
chrII	316968	317864	+	YBR040W
chrII	318213	320417	+	YBR041W
chrII	320349	321654	-	YBR042C
chrII	321745	324094	-	YBR043C
chrII	324265	326092	-	YBR044C
chrII	328035	330200	-	YBR045C
chrII	330236	331542	-	YBR046C
chrII	331780	332461	+	YBR047W
chrII	332811	334027	+	YBR048W
chrII	334141	336967	-	YBR049C
chrII	337145	338308	-	YBR050C
chrII	337988	338338	+	YBR051W
chrII	338663	339406	-	YBR052C
chrII	339606	340763	-	YBR053C
chrII	342781	344496	+	YBR054W
chrII	344509	347308	-	YBR055C
chrII	347867	349428	+	YBR056W
chrII	351228	351890	+	YBR056W-A
chrII	351293	351451	-	YBR056C-B
chrII	352055	353383	-	YBR057C
chrII	353652	356039	-	YBR058C
chrII	356153	356625	-	YBR058C-A
chrII	356782	360337	-	YBR059C
chrII	360595	362601	-	YBR060C
chrII	364634	365726	-	YBR061C
chrII	365872	366610	-	YBR062C
chrII	366913	368317	-	YBR063C
chrII	367763	368191	+	YBR064W
chrII	368298	369720	-	YBR065C
chrII	369938	370782	-	YBR066C
chrII	371965	372786	-	YBR067C
chrII	373642	375729	-	YBR068C
chrII	376396	378538	-	YBR069C
chrII	379178	379955	-	YBR070C
chrII	380339	381321	+	YBR071W
chrII	381956	382838	+	YBR072W
chrII	382860	383021	-	YBR072C-A
chrII	383156	386070	+	YBR073W
chrII	386281	389278	+	YBR074W
chrII	390227	391291	+	YBR076W
chrII	391166	391670	-	YBR076C-A
chrII	391588	392333	-	YBR077C
chrII	392947	395042	+	YBR078W
chrII	395294	398302	-	YBR079C
chrII	398486	400916	-	YBR080C
chrII	401253	405251	-	YBR081C
chrII	406461	407255	-	YBR082C
chrII	408894	410704	+	YBR083W
chrII	411040	414073	+	YBR084W
chrII	414132	415283	-	YBR084C-A
chrII	415908	417072	+	YBR085W
chrII	418536	419193	-	YBR085C-A
chrII	420069	423332	-	YBR086C
chrII	423754	424884	+	YBR087W
chrII	424949	425806	-	YBR088C
chrII	425183	425782	+	YBR089W
chrII	426033	426678	-	YBR089C-A
chrII	426333	427058	-	YBR090C
chrII	427054	427525	-	YBR091C
chrII	427647	429130	-	YBR092C
chrII	429481	430986	-	YBR093C
chrII	431970	434300	+	YBR094W
chrII	434314	435722	-	YBR095C
chrII	435960	436781	+	YBR096W
chrII	436951	441315	+	YBR097W
chrII	441496	443699	+	YBR098W
chrII	442926	443276	-	YBR099C
chrII	443785	444743	-	YBR101C
chrII	444957	447387	-	YBR102C
chrII	447543	449364	+	YBR103W
chrII	449320	449463	-	YBR103C-A
chrII	449579	450716	+	YBR104W
chrII	450759	451992	-	YBR105C
chrII	452625	453364	+	YBR106W
chrII	453489	454608	-	YBR107C
chrII	454807	457852	+	YBR108W
chrII	457721	458406	-	YBR109C
chrII	458657	459155	+	YBR109W-A
chrII	458657	460329	+	YBR110W
chrII	461107	461865	-	YBR111C
chrII	462098	462746	+	YBR111W-A
chrII	462642	465945	-	YBR112C
chrII	465566	466048	+	YBR113W
chrII	467160	469674	+	YBR114W
chrII	469748	473926	-	YBR115C
chrII	474238	474691	-	YBR116C
chrII	474392	476437	-	YBR117C
chrII	477649	479137	+	YBR118W
chrII	479290	480443	+	YBR119W
chrII	480375	480993	-	YBR120C
chrII	481228	483431	-	YBR121C
chrII	482326	482484	-	YBR121C-A
chrII	483805	484536	-	YBR122C
chrII	484704	486754	-	YBR123C
chrII	486507	486866	+	YBR124W
chrII	487199	488380	-	YBR125C
chrII	488774	490469	-	YBR126C
chrII	490827	491199	+	YBR126W-A
chrII	490827	491199	+	YBR126W-B
chrII	491103	492853	-	YBR127C
chrII	493003	494161	-	YBR128C
chrII	494272	495384	-	YBR129C
chrII	495479	496929	-	YBR130C
chrII	497119	499352	+	YBR131W
chrII	497650	497739	-	YBR131C-A
chrII	499349	501606	-	YBR132C
chrII	501750	504446	-	YBR133C
chrII	504243	504644	+	YBR134W
chrII	504760	505412	+	YBR135W
chrII	505668	512774	+	YBR136W
chrII	512982	513718	+	YBR137W
chrII	513613	515366	-	YBR138C
chrII	515659	517360	+	YBR139W
chrII	517350	526628	-	YBR140C
chrII	526944	528069	-	YBR141C
chrII	527137	527742	+	YBR141W-A
chrII	528259	530843	+	YBR142W
chrII	530730	532210	-	YBR143C
chrII	533235	533549	-	YBR144C
chrII	533721	534918	+	YBR145W
chrII	535188	536284	+	YBR146W
chrII	536462	537481	+	YBR147W
chrII	537876	539705	+	YBR148W
chrII	539949	541116	+	YBR149W
chrII	541209	544493	-	YBR150C
chrII	544882	546108	+	YBR151W
chrII	546376	547251	+	YBR152W
chrII	547396	548351	+	YBR153W
chrII	548266	549100	-	YBR154C
chrII	549751	551000	+	YBR155W
chrII	550927	553237	-	YBR156C
chrII	553398	554382	-	YBR157C
chrII	556286	558348	+	YBR158W
chrII	558632	559815	+	YBR159W
chrII	560000	561068	+	YBR160W
chrII	561407	562904	+	YBR161W
chrII	563053	564706	-	YBR162C
chrII	565214	565513	+	YBR162W-A
chrII	565608	567533	+	YBR163W
chrII	567747	568545	-	YBR164C
chrII	568765	569823	+	YBR165W
chrII	569741	571243	-	YBR166C
chrII	571396	571949	-	YBR167C
chrII	572244	573750	+	YBR168W
chrII	573737	576015	-	YBR169C
chrII	576214	578136	-	YBR170C
chrII	578338	579121	+	YBR171W
chrII	579012	581483	-	YBR172C
chrII	581545	582200	-	YBR173C
chrII	582338	582652	-	YBR174C
chrII	582408	583458	+	YBR175W
chrII	583623	584803	+	YBR176W
chrII	584680	586184	-	YBR177C
chrII	585980	586573	+	YBR178W
chrII	586481	589179	-	YBR179C
chrII	589741	591459	+	YBR180W
chrII	591623	592803	-	YBR181C
chrII	593225	594831	-	YBR182C
chrII	595204	595606	-	YBR182C-A
chrII	596018	597134	+	YBR183W
chrII	597363	599070	+	YBR184W
chrII	599004	599978	-	YBR185C
chrII	600553	602360	+	YBR186W
chrII	602505	603636	+	YBR187W
chrII	603502	604182	-	YBR188C
chrII	604482	605573	+	YBR189W
chrII	605966	606277	+	YBR190W
chrII	606248	607249	+	YBR191W
chrII	606982	607283	+	YBR191W-A
chrII	607444	609042	+	YBR192W
chrII	608645	609794	-	YBR193C
chrII	609969	610565	+	YBR194W
chrII	610490	611928	-	YBR195C
chrII	612072	613942	-	YBR196C
chrII	614024	614173	-	YBR196C-A
chrII	614526	614630	-	YBR196C-B
chrII	614746	615886	-	YBR197C
chrII	616043	618601	-	YBR198C
chrII	618810	620431	+	YBR199W
chrII	620817	622749	+	YBR200W
chrII	622983	623147	+	YBR200W-A
chrII	623440	624335	+	YBR201W
chrII	624245	624760	-	YBR201C-A
chrII	625707	628486	+	YBR202W
chrII	628956	632154	+	YBR203W
chrII	632021	633425	-	YBR204C
chrII	633575	635014	+	YBR205W
chrII	634488	634934	+	YBR206W
chrII	635094	636660	+	YBR207W
chrII	636703	642210	-	YBR208C
chrII	642583	642900	+	YBR209W
chrII	645512	645991	+	YBR210W
chrII	646158	647132	-	YBR211C
chrII	647438	650110	+	YBR212W
chrII	650298	651388	+	YBR213W
chrII	651336	653191	+	YBR214W
chrII	653319	655425	+	YBR215W
chrII	655283	657630	-	YBR216C
chrII	657768	658720	+	YBR217W
chrII	658577	662311	-	YBR218C
chrII	662499	663303	-	YBR219C
chrII	662839	664744	-	YBR220C
chrII	664913	666456	-	YBR221C
chrII	666538	666642	+	YBR221W-A
chrII	666606	668391	-	YBR222C
chrII	668416	670320	-	YBR223C
chrII	668721	668840	+	YBR223W-A
chrII	670125	670640	+	YBR224W
chrII	670627	673329	+	YBR225W
chrII	673155	673565	-	YBR226C
chrII	673514	675192	-	YBR227C
chrII	675313	676355	+	YBR228W
chrII	676226	679230	-	YBR229C
chrII	679388	680076	-	YBR230C
chrII	680314	680694	+	YBR230W-A
chrII	680561	681862	-	LSR1
chrII	682140	683147	-	YBR231C
chrII	683373	683732	-	YBR232C
chrII	683349	684819	+	YBR233W
chrII	684938	685456	+	YBR233W-A
chrII	685360	686638	-	YBR234C
chrII	686820	690354	+	YBR235W
chrII	690232	691731	-	YBR236C
chrII	691925	694611	+	YBR237W
chrII	694730	697283	-	YBR238C
chrII	698243	700092	-	YBR239C
chrII	700490	701842	-	YBR240C
chrII	702533	704084	-	YBR241C
chrII	704530	705455	+	YBR242W
chrII	705257	706837	-	YBR243C
chrII	707449	708136	+	YBR244W
chrII	708150	711539	-	YBR245C
chrII	711548	712881	+	YBR246W
chrII	712887	714476	-	YBR247C
chrII	714727	716524	-	YBR248C
chrII	716765	718084	-	YBR249C
chrII	719033	720604	+	YBR250W
chrII	721354	722394	+	YBR251W
chrII	722593	723117	+	YBR252W
chrII	723209	723663	+	YBR253W
chrII	723593	724276	-	YBR254C
chrII	724420	726683	+	YBR255W
chrII	726519	727098	-	YBR255C-A
chrII	727322	728110	-	YBR256C
chrII	728831	729745	+	YBR257W
chrII	729672	730185	-	YBR258C
chrII	730341	732516	+	YBR259W
chrII	732507	734648	-	YBR260C
chrII	734704	735567	-	YBR261C
chrII	735621	736084	-	YBR262C
chrII	736240	737789	+	YBR263W
chrII	737728	738394	-	YBR264C
chrII	738559	739677	+	YBR265W
chrII	739824	741142	+	YBR267W
chrII	739936	740388	-	YBR266C
chrII	741281	741713	+	YBR268W
chrII	742004	742597	-	YBR269C
chrII	742721	744670	-	YBR270C
chrII	744821	746209	+	YBR271W
chrII	746172	747810	-	YBR272C
chrII	747954	749402	-	YBR273C
chrII	749544	751216	+	YBR274W
chrII	751356	757106	-	YBR275C
chrII	757550	760138	-	YBR276C
chrII	760215	760616	-	YBR277C
chrII	760269	760983	+	YBR278W
chrII	761212	762712	+	YBR279W
chrII	762601	764720	-	YBR280C
chrII	764840	767647	-	YBR281C
chrII	768202	768768	+	YBR282W
chrII	768798	770559	-	YBR283C
chrII	771239	773632	+	YBR284W
chrII	773902	774497	+	YBR285W
chrII	774670	776385	+	YBR286W
chrII	776538	777965	+	YBR287W
chrII	777922	779491	-	YBR288C
chrII	779655	782436	+	YBR289W
chrII	782584	783659	+	YBR290W
chrII	783627	784608	-	YBR291C
chrII	784702	785073	-	YBR292C
chrII	786653	788482	+	YBR293W
chrII	789235	791814	+	YBR294W
chrII	792833	796520	+	YBR295W
chrII	796558	798588	-	YBR296C
chrII	800123	800242	-	YBR296C-A
chrII	800484	802171	+	YBR297W
chrII	802538	804872	-	YBR298C
chrII	805035	805256	-	YBR298C-A
chrII	805323	807234	+	YBR299W
chrII	808600	809097	-	YBR300C
chrII	809057	809419	+	YBR301W
chrII	810340	811479	-	YBR302C
chrIII	1392	2135	+	YCL076W
chrIII	2126	2566	+	YCL075W
chrIII	2824	3750	+	YCL074W
chrIII	6479	8326	-	YCL073C
chrIII	9706	11082	+	YCL069W
chrIII	11503	12285	-	YCL068C
chrIII	12386	13018	-	YCL067C
chrIII	13282	13809	+	YCL066W
chrIII	13751	14119	+	YCL065W
chrIII	15704	16899	-	YCL064C
chrIII	17250	18714	+	YCL063W
chrIII	18649	22172	-	YCL061C
chrIII	22323	23404	-	YCL059C
chrIII	23523	23981	-	YCL058C
chrIII	23562	23990	+	YCL058W-A
chrIII	23898	24351	-	YCL057C-A
chrIII	24760	27012	+	YCL057W
chrIII	26910	27393	-	YCL056C
chrIII	27914	29019	+	YCL055W
chrIII	31432	34078	+	YCL054W
chrIII	33973	35433	-	YCL052C
chrIII	35585	37733	+	YCL051W
chrIII	37722	38863	-	YCL050C
chrIII	39661	40779	-	YCL049C
chrIII	41488	41727	+	YCL048W-A
chrIII	42165	43556	+	YCL048W
chrIII	43591	44448	-	YCL047C
chrIII	44562	46945	-	YCL045C
chrIII	46640	46963	+	YCL046W
chrIII	46937	48441	-	YCL044C
chrIII	48557	50258	-	YCL043C
chrIII	50133	50627	-	YCL041C
chrIII	50584	50943	+	YCL042W
chrIII	50809	52518	+	YCL040W
chrIII	52625	54924	+	YCL039W
chrIII	54863	56583	-	YCL038C
chrIII	57257	58745	-	YCL037C
chrIII	59026	60822	+	YCL036W
chrIII	60747	61195	-	YCL035C
chrIII	61602	62794	+	YCL034W
chrIII	62701	63267	-	YCL033C
chrIII	63388	64581	+	YCL032W
chrIII	64573	65601	-	YCL031C
chrIII	65799	68393	-	YCL030C
chrIII	68353	69971	-	YCL029C
chrIII	70118	71496	+	YCL028W
chrIII	71658	73446	+	YCL027W
chrIII	73343	74021	-	YCL026C-B
chrIII	74490	75362	-	YCL026C-A
chrIII	75936	77945	-	YCL025C
chrIII	78949	79296	-	YCL023C
chrIII	79162	82275	+	YCL024W
chrIII	81570	82085	-	YCL022C
chrIII	83530	84097	+	YCL021W-A
chrIII	85102	90415	+	YCL019W
chrIII	85102	86418	+	YCL020W
chrIII	91296	92494	+	YCL018W
chrIII	92636	94364	-	YCL017C
chrIII	94484	95792	-	YCL016C
chrIII	96281	101191	+	YCL014W
chrIII	101190	101822	-	YCL012C
chrIII	101965	103386	-	YCL011C
chrIII	103525	104370	-	YCL010C
chrIII	104471	105563	-	YCL009C
chrIII	105564	106857	-	YCL008C
chrIII	106974	107366	-	YCL007C
chrIII	106998	107519	+	YCL005W-A
chrIII	107452	107811	-	snR43
chrIII	107975	108922	+	YCL005W
chrIII	109027	110747	+	YCL004W
chrIII	110655	111700	-	YCL002C
chrIII	111890	112563	+	YCL001W
chrIII	113080	113541	+	YCL001W-A
chrIII	113770	114024	+	YCL001W-B
chrIII	115685	115999	+	YCR001W
chrIII	117315	118403	-	YCR002C
chrIII	118598	119276	+	YCR003W
chrIII	119390	120500	-	YCR004C
chrIII	120794	122388	-	YCR005C
chrIII	122530	123003	-	YCR006C
chrIII	125931	126987	-	YCR007C
chrIII	127988	130550	+	YCR008W
chrIII	130643	131598	-	YCR009C
chrIII	132091	133448	-	YCR010C
chrIII	133667	137005	-	YCR011C
chrIII	137706	139154	+	YCR012W
chrIII	138402	139049	-	YCR013C
chrIII	139185	140933	-	YCR014C
chrIII	141136	142190	-	YCR015C
chrIII	142239	142546	-	snR33
chrIII	143608	144675	+	YCR016W
chrIII	144583	147663	-	YCR017C
chrIII	148238	148903	-	YCR018C
chrIII	151608	151862	-	YCR018C-A
chrIII	152689	154042	+	YCR019W
chrIII	153935	155114	-	YCR020C
chrIII	154667	155104	-	YCR020C-A
chrIII	155288	156042	+	YCR020W-B
chrIII	155930	157220	-	YCR021C
chrIII	157141	158029	-	YCR022C
chrIII	158297	160450	-	YCR023C
chrIII	160602	162241	-	YCR024C
chrIII	162409	163216	-	YCR024C-B
chrIII	162474	163216	-	YCR024C-A
chrIII	163326	163990	-	YCR025C
chrIII	163896	166413	-	YCR026C
chrIII	167109	168190	-	YCR027C
chrIII	170628	172542	-	YCR028C
chrIII	172758	173501	-	YCR028C-A
chrIII	173653	176523	-	YCR030C
chrIII	177089	177402	+	snR65
chrIII	177399	178241	-	YCR031C
chrIII	178502	178798	-	snR189
chrIII	179520	186023	+	YCR032W
chrIII	186489	190169	+	YCR033W
chrIII	190566	191803	+	YCR034W
chrIII	191689	193036	-	YCR035C
chrIII	193293	194381	+	YCR036W
chrIII	194317	197229	-	YCR037C
chrIII	197621	199549	-	YCR038C
chrIII	199293	199418	+	YCR038W-A
chrIII	199546	200178	-	YCR039C
chrIII	200442	200969	+	YCR040W
chrIII	200911	201243	+	YCR041W
chrIII	201174	205397	-	YCR042C
chrIII	206095	206677	-	YCR043C
chrIII	206790	207957	-	YCR044C
chrIII	208073	209772	-	YCR045C
chrIII	208751	209101	+	YCR045W-A
chrIII	209810	210429	-	YCR046C
chrIII	210517	211611	-	YCR047C
chrIII	211301	211507	+	YCR047W-A
chrIII	211871	212317	-	YCR049C
chrIII	211904	213956	+	YCR048W
chrIII	213464	213772	-	YCR050C
chrIII	214047	214871	+	YCR051W
chrIII	214961	216655	+	YCR052W
chrIII	216656	218318	+	YCR053W
chrIII	218196	220122	-	YCR054C
chrIII	220344	223290	-	YCR057C
chrIII	223273	224244	-	YCR059C
chrIII	224399	224734	+	YCR060W
chrIII	225538	227816	+	YCR061W
chrIII	228091	228501	-	YCR064C
chrIII	228296	229272	+	YCR063W
chrIII	229127	231330	+	YCR065W
chrIII	231450	233128	+	YCR066W
chrIII	233034	236441	-	YCR067C
chrIII	237060	238890	+	YCR068W
chrIII	238908	240132	+	YCR069W
chrIII	240024	240580	-	YCR071C
chrIII	240701	242378	-	YCR072C
chrIII	242516	246648	-	YCR073C
chrIII	246945	248024	+	YCR073W-A
chrIII	247889	248825	-	YCR075C
chrIII	248961	249282	+	YCR075W-A
chrIII	249188	250062	-	YCR076C
chrIII	250100	252670	-	YCR077C
chrIII	252818	254299	+	YCR079W
chrIII	254371	258654	+	YCR081W
chrIII	258415	258651	-	YCR081C-A
chrIII	258853	259376	+	YCR082W
chrIII	259543	260084	+	YCR083W
chrIII	260157	262677	-	YCR084C
chrIII	262916	263269	+	YCR085W
chrIII	263348	264017	+	YCR086W
chrIII	263976	264491	+	YCR087W
