SEQ_NAME	START	END	STRAND
chrIV	1004461	1005325	-
chrIV	1010917	1011429	-
chrIV	1019973	1020389	-
chrIV	1030513	1030881	+
chrIV	1031733	1032101	-
chrIV	1036637	1037005	-
chrIV	1061305	1061489	+
chrIV	1072753	1073289	+
chrIV	1077461	1077893	-
chrIV	1090392	1091400	+
chrIV	1092760	1093256	+
chrIV	1106080	1106856	+
chrIV	1145727	1146063	-
chrIV	1149683	1149987	+
chrIV	1153883	1154075	+
chrIV	1156643	1157363	+
chrIV	1165899	1166147	+
chrIV	1166159	1166439	-
chrIV	1182392	1182952	-
chrIV	1189220	1189612	+
chrIV	1204233	1204409	-
chrIV	1233561	1233681	-
chrIV	1238341	1239405	+
chrIV	1240005	1241029	+
chrIV	1242733	1243157	+
chrIV	1260369	1260577	-
chrIV	1268929	1269753	-
chrIV	1270845	1271005	+
chrIV	1275041	1276513	-
chrIV	1279073	1279177	-
chrIV	1299961	1300313	-
chrIV	1300313	1300977	-
chrIV	1302229	1302717	+
chrIV	1319453	1319765	+
chrIV	1323469	1324429	+
chrIV	1334213	1334581	+
chrIV	1359165	1359493	+
chrIV	1360949	1361053	+
chrIV	1367029	1367437	+
chrIV	1383553	1383905	-
chrIV	1383905	1384769	-
chrIV	1427413	1427901	+
chrIV	1435793	1436417	-
chrIV	1436417	1436697	-
chrIV	1460573	1460765	+
chrIV	1476521	1476641	-
chrIV	1484317	1485589	+
chrIV	1489089	1489233	-
chrIV	1492153	1492385	-
chrIV	1496813	1497189	+
chrIV	1507906	1508042	-
chrIX	32601	32721	+
chrIX	44909	45285	-
chrIX	45285	45925	-
chrIX	47573	47949	-
chrIX	100001	100385	+
chrIX	100385	100897	+
chrIX	135384	136328	-
chrIX	185944	186176	-
chrIX	187956	188460	+
chrIX	202852	204148	+
chrIX	212196	212452	+
chrIX	220972	221364	+
chrIX	226064	226280	-
chrIX	249476	249699	+
chrIX	259614	259910	-
chrIX	263534	265054	-
chrIX	264938	265058	+
chrIX	274090	274538	+
chrIX	342016	342296	-
chrIX	349760	350096	-
chrIX	355556	356324	+
chrIX	362640	362984	-
chrIX	381184	382176	-
chrV	8089	8297	+
chrV	9969	10497	+
chrV	15349	15605	-
chrV	15605	15773	-
chrV	34145	34321	+
chrV	45065	45809	+
chrV	51773	51973	-
chrV	52349	52485	-
chrV	58821	59309	-
chrV	62821	63724	-
chrV	150290	151762	+
chrV	152174	152662	-
chrV	155958	156110	-
chrV	166926	167326	-
chrV	178206	178574	-
chrV	208762	209066	+
chrV	210490	210834	+
chrV	222510	223270	-
chrV	238650	239162	+
chrV	253750	253870	-
chrV	261878	262022	-
chrV	261954	262802	+
chrV	268230	269295	-
chrV	272087	272271	-
chrV	273799	273983	-
chrV	281567	282447	-
chrV	294287	294919	-
chrV	301023	301695	-
chrV	302367	302647	-
chrV	302647	303359	-
chrV	316773	317149	+
chrV	319369	319761	-
chrV	321577	321905	-
chrV	326173	326549	+
chrV	343485	343893	+
chrV	347781	348485	+
chrV	395285	395517	+
chrV	409129	409393	-
chrV	415777	416129	-
chrV	416129	416561	-
chrV	422189	422613	+
chrV	425237	425533	+
chrV	431225	431369	-
chrV	432553	432857	-
chrV	483318	484518	+
chrV	500394	500530	-
chrV	500638	501334	+
chrV	509642	509818	-
chrV	544618	545066	-
chrV	567042	567586	-
chrVI	23105	23329	+
chrVI	44745	46121	+
chrVI	81935	82127	-
chrVI	95103	95207	-
chrVI	106927	107215	+
chrVI	118642	119170	-
chrVI	149418	149786	-
chrVI	194264	194536	-
chrVI	194536	196361	-
chrVI	245210	245906	-
chrVI	251850	252290	-
chrVI	261486	262270	+
chrVI	263318	263870	+
chrVI	263394	263850	-
chrVII	11909	12373	-
chrVII	21885	23349	-
chrVII	35013	35365	-
chrVII	55814	56190	-
chrVII	64306	64426	+
chrVII	94290	94450	-
chrVII	95141	95751	+
chrVII	97159	97303	+
chrVII	130993	131305	-
chrVII	145353	145625	-
chrVII	147837	148229	+
chrVII	150665	150961	-
chrVII	153149	154221	+
chrVII	166725	166901	+
chrVII	166857	167481	-
chrVII	184173	185061	+
chrVII	209986	210594	-
chrVII	225910	226326	+
chrVII	228830	229558	+
chrVII	256178	257274	-
chrVII	269301	269725	+
chrVII	276745	277073	-
chrVII	280789	281309	+
chrVII	286045	286997	+
chrVII	286889	287177	-
chrVII	314212	314372	-
chrVII	337172	337588	-
chrVII	345292	345724	-
chrVII	346512	346648	+
chrVII	346648	346912	+
chrVII	357412	358364	-
chrVII	360224	361672	+
chrVII	366880	367296	+
chrVII	370244	370644	-
chrVII	375848	376008	+
chrVII	412621	413172	-
chrVII	420901	421349	+
chrVII	427237	427637	+
chrVII	439762	440602	-
chrVII	484190	484982	+
chrVII	507355	507971	-
chrVII	508767	509055	+
chrVII	515675	515899	-
chrVII	515899	516267	-
chrVII	525043	525611	-
chrVII	534995	535247	-
chrVII	545135	545351	+
chrVII	545831	546055	+
chrVII	559375	559567	+
chrVII	576075	576539	-
chrVII	605751	606119	+
chrVII	606731	607123	-
chrVII	608595	609099	-
chrVII	609799	609927	+
chrVII	616327	617575	+
chrVII	656163	656451	-
chrVII	666947	667339	-
chrVII	667339	667803	-
chrVII	669755	670571	-
chrVII	671403	671915	-
chrVII	678247	678455	+
chrVII	700095	700671	+
chrVII	702163	702667	-
chrVII	730550	730806	+
chrVII	733346	733530	-
chrVII	739322	739602	-
chrVII	739398	739894	+
chrVII	746050	746610	-
chrVII	760498	761114	-
chrVII	761730	762154	-
chrVII	769602	770314	-
chrVII	786022	786326	+
chrVII	795650	796634	-
chrVII	795950	796078	+
chrVII	801714	801866	-
chrVII	805214	806246	+
chrVII	823314	823489	-
chrVII	830130	830282	-
chrVII	859822	860102	+
chrVII	879026	879378	-
chrVII	882306	882570	-
chrVII	882570	882714	-
chrVII	884470	885070	+
chrVII	897286	897470	+
chrVII	904794	904922	-
chrVII	920414	920550	+
chrVII	962327	962830	+
chrVII	974009	974433	-
chrVII	974933	975757	+
chrVII	984313	984649	-
chrVII	993729	994073	-
chrVII	995029	995605	+
chrVII	996121	996625	-
chrVII	1000693	1000885	+
chrVII	1011672	1012336	-
chrVII	1017964	1019548	+
chrVII	1038789	1039293	+
chrVII	1039401	1039824	-
chrVII	1060740	1060956	+
chrVII	1065048	1065168	-
chrVII	1065484	1065876	+
chrVIII	50015	50519	-
chrVIII	69585	70073	-
chrVIII	74813	75373	+
chrVIII	77301	77421	+
chrVIII	115511	115759	+
chrVIII	121851	122043	-
chrVIII	127940	129308	-
chrVIII	139389	139797	-
chrVIII	168297	168681	+
chrVIII	170721	171417	+
chrVIII	171417	171769	+
chrVIII	189877	190301	-
chrVIII	193833	194176	+
chrVIII	198585	199113	+
chrVIII	208860	209292	-
chrVIII	219007	219511	+
chrVIII	231291	231851	-
chrVIII	238203	238867	-
chrVIII	273123	273603	-
chrVIII	279291	280067	-
chrVIII	290666	290818	-
chrVIII	319738	319970	-
chrVIII	380971	381347	-
chrVIII	386603	386731	-
chrVIII	410403	410883	-
chrVIII	411543	411647	+
chrVIII	411647	412327	+
chrVIII	441620	441941	-
chrVIII	449142	450246	-
chrVIII	450246	450702	-
chrVIII	460984	462088	-
chrVIII	461884	462132	+
chrVIII	487152	487632	-
chrVIII	501324	501956	+
chrVIII	501956	502356	+
chrX	22445	22757	-
chrX	31425	31825	+
chrX	63134	63598	-
chrX	96759	97505	-
chrX	99035	99567	-
chrX	109808	110512	+
chrX	116694	117142	+
chrX	117990	118958	+
chrX	119122	119810	-
chrX	134195	134667	+
chrX	134667	134875	+
chrX	137031	137135	-
chrX	139159	139271	-
chrX	139951	140119	-
chrX	141395	141843	+
chrX	141843	142683	+
chrX	142663	142783	-
chrX	142783	142999	-
chrX	155011	155859	+
chrX	172959	173063	-
chrX	180803	180939	+
chrX	182258	183210	+
chrX	186890	187209	+
chrX	209732	209892	+
chrX	227752	227920	-
chrX	259505	259761	-
chrX	267321	267905	-
chrX	267905	268353	-
chrX	279537	280009	-
chrX	280009	280713	-
chrX	294073	294249	-
chrX	319041	319305	-
chrX	337057	337753	-
chrX	337533	338061	+
chrX	338061	338197	+
chrX	349301	349989	+
chrX	398901	399053	+
chrX	413678	414094	+
chrX	413874	414082	-
chrX	450371	450683	-
chrX	458647	458863	+
chrX	461275	461571	-
chrX	486567	486799	+
chrX	506963	507531	-
chrX	529155	529659	-
chrX	534955	535755	-
chrX	581799	582863	+
chrX	585655	585911	+
chrX	604484	604916	+
chrX	609480	610472	-
chrX	610472	610936	-
chrX	613044	613596	+
chrX	639994	640418	-
chrX	643510	645110	+
chrX	650706	651258	-
chrX	664054	664462	+
chrX	664462	664710	+
chrX	664710	664902	+
chrX	717586	718002	-
chrXI	15881	16201	+
chrXI	24221	24916	-
chrXI	30920	31152	+
chrXI	38236	38820	-
chrXI	38960	39120	+
chrXI	95835	95979	-
chrXI	95979	96315	-
chrXI	157723	158298	-
chrXI	164451	164595	-
chrXI	179311	179631	+
chrXI	223198	225134	+
chrXI	230322	230978	-
chrXI	246094	246630	+
chrXI	255742	256015	+
chrXI	257891	258403	-
chrXI	260027	260179	-
chrXI	274187	275059	-
chrXI	285843	286371	-
chrXI	290859	291163	-
chrXI	298771	299155	-
chrXI	307627	308003	-
chrXI	325467	325907	-
chrXI	325907	326267	-
chrXI	328135	329175	+
chrXI	335311	335863	+
chrXI	335863	336263	+
chrXI	352851	353443	-
chrXI	364601	364745	+
chrXI	386181	386637	-
chrXI	386637	386949	-
chrXI	386949	387253	-
chrXI	389097	389657	+
chrXI	389657	390633	+
chrXI	420201	421425	+
chrXI	439793	440113	+
chrXI	454889	455217	+
chrXI	476089	476497	+
chrXI	489897	490409	+
chrXI	493021	493653	-
chrXI	510786	511162	+
chrXI	516566	516870	-
chrXI	517771	517922	+
chrXI	554206	554718	-
chrXI	556662	558414	-
chrXI	558414	558662	-
chrXI	564654	565070	-
chrXI	571070	571206	-
chrXI	581538	581850	+
chrXI	582670	583350	-
chrXI	604435	604707	+
chrXI	614088	614696	-
chrXII	97826	99154	+
chrXII	105402	105546	+
chrXII	109242	109666	+
chrXII	115534	116142	-
chrXII	150318	150678	-
chrXII	185082	185458	+
chrXII	187720	188792	+
chrXII	193672	194376	+
chrXII	196840	197344	+
chrXII	201532	201812	-
chrXII	243608	243744	+
chrXII	248656	249328	+
chrXII	264740	265268	-
chrXII	267856	268072	+
chrXII	363972	364300	-
chrXII	395176	395584	+
chrXII	396416	396920	+
chrXII	396920	397352	+
chrXII	398828	399388	-
chrXII	404520	405088	+
chrXII	415736	416384	+
chrXII	416384	416808	+
chrXII	434144	434280	+
chrXII	436668	437108	-
chrXII	441568	442624	+
chrXII	445136	445544	+
chrXII	503499	504043	-
chrXII	505243	505507	-
chrXII	505507	505779	-
chrXII	542015	542487	+
chrXII	543347	543667	-
chrXII	633619	634003	-
chrXII	657651	658083	-
chrXII	658083	658203	-
chrXII	660471	660647	+
chrXII	672411	672611	-
chrXII	672611	672835	-
chrXII	674447	675135	+
chrXII	675695	676463	+
chrXII	719679	719863	+
chrXII	721783	722471	+
chrXII	738143	738607	+
chrXII	786475	787395	-
chrXII	789411	789699	-
chrXII	793131	794227	-
chrXII	822731	823316	-
chrXII	830396	830732	-
chrXII	833284	833644	-
chrXII	837608	838016	+
chrXII	839736	840256	+
chrXII	866420	866804	-
chrXII	899719	899895	+
chrXII	906703	907039	+
chrXII	911327	912471	+
chrXII	928605	929597	-
chrXII	963127	963551	-
chrXII	987903	988191	-
chrXII	1028179	1028331	+
chrXII	1041762	1042386	+
chrXII	1042386	1043066	+
chrXII	1043022	1043606	-
chrXIII	8733	9269	-
chrXIII	14976	15464	+
chrXIII	23944	26104	+
chrXIII	45909	46021	-
chrXIII	53781	55213	-
chrXIII	57625	57873	+
chrXIII	58873	59401	+
chrXIII	77993	78337	+
chrXIII	110037	110365	-
chrXIII	110365	110837	-
chrXIII	129809	130081	+
chrXIII	130081	130729	+
chrXIII	147361	147537	+
chrXIII	204449	205009	+
chrXIII	212265	212369	+
chrXIII	218973	219221	-
chrXIII	239025	239225	+
chrXIII	246937	247641	+
chrXIII	284182	284622	-
chrXIII	286562	286746	+
chrXIII	286670	287230	-
chrXIII	302550	302670	-
chrXIII	311270	311478	-
chrXIII	330450	330634	+
chrXIII	348594	348810	+
chrXIII	348810	349458	+
chrXIII	352414	353022	-
chrXIII	354750	355126	-
chrXIII	370762	371210	+
chrXIII	391586	391826	+
chrXIII	396470	396854	-
chrXIII	399182	399646	-
chrXIII	405614	406110	-
chrXIII	405738	406242	+
chrXIII	431246	431454	-
chrXIII	433054	433342	-
chrXIII	448310	448958	-
chrXIII	493882	494778	+
chrXIII	501098	501418	+
chrXIII	512022	513342	-
chrXIII	534930	535690	+
chrXIII	535690	535978	+
chrXIII	545326	545710	-
chrXIII	557490	557898	+
chrXIII	559702	560638	-
chrXIII	568214	568414	-
chrXIII	576606	577454	-
chrXIII	584322	585754	+
chrXIII	592970	593330	+
chrXIII	628382	628734	-
chrXIII	646398	646854	-
chrXIII	649470	649814	-
chrXIII	652602	652922	+
chrXIII	652922	653050	+
chrXIII	653050	653362	+
chrXIII	654782	656006	-
chrXIII	656006	658382	-
chrXIII	661102	661614	-
chrXIII	667934	668230	-
chrXIII	715650	716498	+
chrXIII	752966	753118	-
chrXIII	759830	760150	-
chrXIII	761806	761950	-
chrXIII	773598	774054	-
chrXIII	814378	815514	+
chrXIII	861458	861866	+
chrXIII	864410	864898	+
chrXIII	867330	867930	+
chrXIII	874390	874550	-
chrXIII	881974	885406	-
chrXIII	914719	915071	-
chrXIII	915071	915239	-
chrXIV	31406	31766	-
chrXIV	49198	49326	-
chrXIV	64614	64814	-
chrXIV	67862	68415	-
chrXIV	86863	87319	-
chrXIV	89451	89699	+
chrXIV	89623	89887	-
chrXIV	104275	104642	+
chrXIV	107159	108183	-
chrXIV	109123	109403	+
chrXIV	116199	116575	-
chrXIV	145514	145850	+
chrXIV	145850	146154	+
chrXIV	154510	154838	-
chrXIV	168066	168618	+
chrXIV	174890	175234	+
chrXIV	185014	185238	-
chrXIV	198186	198514	+
chrXIV	217730	218394	+
chrXIV	229906	230026	+
chrXIV	234042	234186	+
chrXIV	234186	234322	+
chrXIV	240886	241342	-
chrXIV	245474	245610	+
chrXIV	258434	258786	+
chrXIV	270746	271218	+
chrXIV	275270	276078	-
chrXIV	302217	302649	+
chrXIV	338001	338337	+
chrXIV	340945	341049	+
chrXIV	348761	349185	+
chrXIV	358469	358925	-
chrXIV	358925	359237	-
chrXIV	366269	366501	-
chrXIV	371269	371469	-
chrXIV	374329	374513	+
chrXIV	381097	381337	+
chrXIV	407701	408101	-
chrXIV	417833	418153	+
chrXIV	434269	434589	-
chrXIV	458797	459429	-
chrXIV	479422	480358	-
chrXIV	483654	485262	-
chrXIV	498842	499122	+
chrXIV	500554	500682	+
chrXIV	500682	500794	+
chrXIV	525559	525823	-
chrXIV	529159	529559	-
chrXIV	533939	534091	+
chrXIV	568307	569115	+
chrXIV	579035	579443	+
chrXIV	586428	586611	+
chrXIV	587107	587267	+
chrXIV	588251	588355	+
chrXIV	588355	588977	+
chrXIV	621338	621714	+
chrXIV	629082	629258	+
chrXIV	662194	662306	+
chrXIV	663294	663662	-
chrXIV	705938	706106	+
chrXIV	707118	707558	-
chrXIV	716434	716706	+
chrXIV	723403	724075	+
chrXIV	730843	731315	+
chrXIV	736216	736480	-
chrXIV	763076	764044	+
chrXV	22234	22386	+
chrXV	47827	48859	+
chrXV	73358	73534	-
chrXV	99102	99470	-
chrXV	100814	101062	-
chrXV	105790	106358	-
chrXV	128306	128498	+
chrXV	136442	136874	+
chrXV	138010	138322	+
chrXV	143802	144178	+
chrXV	146822	147174	-
chrXV	154898	155266	+
chrXV	158918	159462	-
chrXV	167502	167862	-
chrXV	168330	168434	+
chrXV	170314	170786	+
chrXV	197046	197165	-
chrXV	199926	200158	-
chrXV	204674	205138	+
chrXV	226982	227365	-
chrXV	232483	232795	+
chrXV	234191	234495	-
chrXV	234611	234763	+
chrXV	264573	265173	-
chrXV	267825	268137	+
chrXV	313001	313553	+
chrXV	315329	316729	+
chrXV	332909	333373	-
chrXV	335353	335881	+
chrXV	363574	364134	-
chrXV	379086	380182	-
chrXV	380182	380734	-
chrXV	383618	383962	+
chrXV	386198	386558	-
chrXV	391222	391342	-
chrXV	392522	392842	+
chrXV	397570	398034	+
chrXV	406766	407622	-
chrXV	407622	407822	-
chrXV	409158	409566	-
chrXV	418577	418865	+
chrXV	421913	422201	+
chrXV	424728	425256	+
chrXV	435776	437384	+
chrXV	446080	447096	+
chrXV	458184	458648	+
chrXV	462632	463392	+
chrXV	493885	494373	-
chrXV	515049	515169	+
chrXV	517113	517457	+
chrXV	519909	520421	-
chrXV	530501	531261	-
chrXV	536749	536893	-
chrXV	552933	553109	-
chrXV	553129	553881	+
chrXV	564261	564421	-
chrXV	574325	574805	-
chrXV	584321	585185	+
chrXV	605353	605681	+
chrXV	617393	618089	+
chrXV	618893	619085	-
chrXV	632589	632861	-
chrXV	642393	642697	+
chrXV	661889	662169	+
chrXV	670345	670633	+
chrXV	670589	670701	-
chrXV	671381	671501	-
chrXV	680285	680565	-
chrXV	682973	683293	-
chrXV	741773	742245	-
chrXV	747317	747477	-
chrXV	757653	758061	-
chrXV	758845	759029	-
chrXV	769581	769989	-
chrXV	775093	775469	-
chrXV	780997	781541	-
chrXV	784093	784645	-
chrXV	811759	812191	-
chrXV	818136	818440	-
chrXV	825252	826292	+
chrXV	844892	845188	+
chrXV	848832	849048	-
chrXV	876352	877008	-
chrXV	878093	878317	+
chrXV	880353	880721	-
chrXV	913934	914046	+
chrXV	923110	923358	+
chrXV	944186	944418	-
chrXV	953562	953890	-
chrXV	953890	954082	-
chrXV	960258	960674	-
chrXV	979998	980142	+
chrXV	982306	982522	-
chrXV	995086	997118	+
chrXV	1001086	1001518	+
chrXV	1001518	1001838	+
chrXV	1003418	1004090	-
chrXV	1010393	1010793	-
chrXV	1031557	1031917	+
chrXV	1037633	1039409	-
chrXVI	23773	23909	-
chrXVI	34693	35013	-
chrXVI	40801	40929	+
chrXVI	46721	47153	+
chrXVI	74137	74441	+
chrXVI	74789	74901	-
chrXVI	76705	79569	+
chrXVI	84473	85537	+
chrXVI	100265	100441	+
chrXVI	105525	105925	-
chrXVI	107733	108269	-
chrXVI	117733	118021	-
chrXVI	131446	131686	-
chrXVI	132198	132414	-
chrXVI	134894	135526	-
chrXVI	158758	159574	-
chrXVI	163670	163918	-
chrXVI	169690	170394	+
chrXVI	182954	183178	+
chrXVI	183474	184458	+
chrXVI	187838	188062	-
chrXVI	190894	191206	-
chrXVI	195678	195806	-
chrXVI	204246	204958	-
chrXVI	207238	207646	-
chrXVI	215322	216050	+
chrXVI	226042	226434	+
chrXVI	250426	250706	+
chrXVI	252042	252778	+
chrXVI	254382	254526	-
chrXVI	291282	291650	+
chrXVI	304114	304314	+
chrXVI	319242	319466	+
chrXVI	348290	348858	-
chrXVI	349946	350122	-
chrXVI	352830	352958	+
chrXVI	369790	370110	+
chrXVI	373082	373434	-
chrXVI	382746	383074	-
chrXVI	409086	409494	+
chrXVI	410618	411650	-
chrXVI	431098	431378	-
chrXVI	432390	432542	+
chrXVI	444314	445090	-
chrXVI	451702	452230	+
chrXVI	454126	454550	+
chrXVI	472110	472366	+
chrXVI	475174	475702	+
chrXVI	480074	480362	-
chrXVI	480954	481066	-
chrXVI	493089	493313	-
chrXVI	497289	497713	-
chrXVI	518073	518553	-
chrXVI	565286	565574	+
chrXVI	581526	581990	+
chrXVI	608542	608646	+
chrXVI	621334	621926	+
chrXVI	622706	623218	-
chrXVI	639106	639290	-
chrXVI	644978	645242	-
chrXVI	654990	655118	+
chrXVI	671466	673522	-
chrXVI	675886	676230	+
chrXVI	685498	685698	-
chrXVI	691902	692158	+
chrXVI	695358	695694	+
chrXVI	697126	697734	+
chrXVI	699481	700025	-
chrXVI	706289	706721	-
chrXVI	719237	720605	+
chrXVI	752745	753041	-
chrXVI	758921	759457	-
chrXVI	767057	767449	-
chrXVI	801483	802099	-
chrXVI	821451	821739	-
chrXVI	822055	822167	+
chrXVI	833483	834075	-
chrXVI	834075	834307	-
chrXVI	874531	874883	-
chrXVI	876823	877279	+
chrXVI	877971	878155	-
chrXVI	878155	878499	-
chrXVI	900075	900515	-
chrXVI	901107	901547	-
chrXVI	930059	930211	-
chrXVI	933187	933787	-
chrXVI	939215	939687	+
